Name,Price,Review_Summary,Number_of_Reviews,Release_Date,Developers,Genres,Supported_VR,Steam_ID,Average_Review,Operating_Systems,Release_Year
I Expect You To Die,14.99,Overwhelmingly Positive,2012,"Apr 25, 2017",Schell Games,Adventure,True,587430,Overwhelmingly Positive,Windows,2017
RUMBLE,20.0,Very Positive,2539,"Sep 23, 2022",Buckethead Entertainment,"Action, Sports, Early Access",True,890550,Very Positive,Windows,2022
Job Simulator,19.99,Very Positive,3756,"Apr 5, 2016",Owlchemy Labs,"Action, Casual, Indie, Simulation",True,448280,Very Positive,Windows,2016
DAVIGO: VR vs. PC,24.99,Very Positive,789,"Nov 29, 2023",Davigo Studio,"Action, Indie, Early Access",True,1116540,Very Positive,Windows,2023
rFactor 2,29.99,Very Positive,6055,"Nov 12, 2015",Studio 397,"Racing, Simulation, Sports",True,365960,Very Positive,Windows,2015
Metal: Hellsinger VR,29.99,Positive,48,"Oct 3, 2024","Lab42, The Outsiders","Action, Adventure",True,2878270,Positive,Windows,2024
I Expect You To Die 2: The Spy and the Liar,14.99,Overwhelmingly Positive,1081,"Aug 24, 2021",Schell Games,Adventure,True,1499120,Overwhelmingly Positive,Windows,2021
Demeo,39.99,Very Positive,1426,"May 6, 2021",Resolution Games,"Adventure, Indie, RPG, Strategy",True,1484280,Very Positive,"Windows, macOS",2021
Bootstrap Island,19.99,Very Positive,488,"Feb 22, 2024",Maru VR Productions,"Action, Adventure, Indie, Simulation, Strategy, Early Access",True,1942110,Very Positive,Windows,2024
Cooking Simulator VR,24.99,Very Positive,1244,"Jul 29, 2021",GameBoom VR,"Casual, Indie, Simulation",True,1358140,Very Positive,Windows,2021
Ancient Dungeon,19.99,Overwhelmingly Positive,1200,"Nov 3, 2021",Eric Thullen,"Action, Adventure, Indie, RPG, Early Access",True,1125240,Overwhelmingly Positive,Windows,2021
Subside,24.99,Very Positive,286,"Sep 17, 2024",A2D Software,Simulation,True,2550040,Very Positive,Windows,2024
The Break-In,19.99,Very Positive,1748,"Jul 17, 2023","jorgen games Ltd, Oliver Josh","Action, Indie, Simulation, Early Access",True,1397390,Very Positive,Windows,2023
Pistol Whip,29.99,Very Positive,3441,"Nov 7, 2019",Cloudhead Games Ltd.,"Action, Indie, Sports",True,1079800,Very Positive,Windows,2019
The Thrill of the Fight - VR Boxing,9.99,Overwhelmingly Positive,3768,"Oct 24, 2019",Sealost Interactive LLC,"Action, Sports",True,494150,Overwhelmingly Positive,Windows,2019
SENRAN KAGURA Peach Beach Splash,29.99,Very Positive,3681,"Mar 7, 2018",Tamsoft,Action,True,696170,Very Positive,Windows,2018
Spectral Scream,9.99,Very Positive,540,"Aug 28, 2024",STOIC Ent.,"Action, Adventure, Indie, Strategy",True,2620240,Very Positive,Windows,2024
Hellsplit: Arena,24.99,Very Positive,3554,"Sep 9, 2019",Deep Type Games,"Action, RPG",True,1039880,Very Positive,Windows,2019
Until You Fall,13.99,Very Positive,2774,"Oct 27, 2020",Schell Games,"Action, Adventure, Indie",True,858260,Very Positive,Windows,2020
X-Plane 11,29.99,Very Positive,17190,"Mar 30, 2017",Laminar Research,Simulation,True,269950,Very Positive,"Windows, macOS, Linux",2017
Hellsweeper VR,17.99,Very Positive,347,"Sep 21, 2023",Mixed Realms Pte Ltd,"Action, Indie, RPG, Simulation",True,1341490,Very Positive,Windows,2023
Aerofly FS 4 Flight Simulator,59.99,Very Positive,667,"Jul 4, 2022",IPACS,"Action, Indie, Racing, Simulation",True,1995890,Very Positive,"Windows, macOS, Linux",2022
Maestro,24.99,Very Positive,96,"Oct 22, 2024",Double Jack,"Casual, Indie, Simulation",True,2701700,Very Positive,Windows,2024
NoLimits 2 Roller Coaster Simulation,39.99,Overwhelmingly Positive,1317,"Aug 21, 2014",Ole Lange,"Indie, Simulation",True,301320,Overwhelmingly Positive,"Windows, macOS",2014
